requestNumber,actionId,actionType,beginDate,endDate,requestID,requestId,requestTitle,pi,piInstitution,piUsername,fos,fosTypeId,opportunity,allocationType,abstract,updateDate
NAIRR240088,169923,New,4/22/24,10/22/24,1264511,1264511,Use of AI and sub-meter resolution satellite imagery to map permafrost thaw disturbances and human-built infrastructure at pan-Arctic scale,"Witharana, Chandi","University of Connecticut (Storrs, CT)",nairr-user-agqmx,Geology and Solid Earth Sciences,502117,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The Arctic is experiencing more rapid warming than many other regions leading to degradation of permafrost, - the permanently frozen earth materials that remain at 0°C or below for two or more consecutive years-, at an alarming rate. Widespread permafrost thaw induced disturbances negatively impact an array of natural processes, altering hydrology, vegetation dynamics and biogeochemical fluxes, and posing serious threat to human-built environment by damaging buildings and critical infrastructure sitting on permafrost-affected ground.  Permafrost thaw disturbances and microtopographic transitions are no longer localized phenomena but extend across the Arctic. Conventional field surveys and local-scale monitoring mechanisms are unable to offer synoptic assessments of permafrost degradations and ramifications on natural and human-built environments.  Consequently, there is a dire need for new monitoring tools to precisely map permafrost landforms and thaw disturbances and monitor their changes over time and assess the permafrost thaw risk on human-built infrastructure. 
Permafrost dominated landscape in the Arctic harbor a variety of distinctive landforms shaped by the freezing and thawing of the ground.  Ice-wedge polygons (IWPs), the most conspicuous and critical microtopographic formation found in the cold continuous permafrost regions, are underlain by several meter-wide and deep ice-wedges that form a network across the tundra. The microtopography associated with IWPs dictates the Arctic ecosystem from local to regional scales due to the impacts on the flow and storage of water and consequently alter vegetation and carbon dynamics. Field and remote sensing-based studies reported ice-wedge degradation transformation of low-centered polygons into high-centered polygons due to permafrost thaw at several locations across the Arctic tundra. Spatially patchy and temporally sparse knowledge on ice-wedge polygon system's dynamics inevitably lead to uncertainties in regional and pan-Arctic estimates of carbon, water, and energy fluxes. Closing such critical information gaps and improving multi-scale models require objective and detailed geospatial data sets consolidating the ice wedge polygon extent and their prevailing successional stages.
The entire Arctic has been imaged by sub-meter resolution Maxar satellite sensors multiple times during the last two decades. Data repositories holding millions of Maxar images are now at petabyte scale. However, comprehensive Pan-Arctic science products derived from this imagery are scarce. This is largely due to data size (big data) and semantic complexity of satellite images. With the funding from NSF Polar Programs (award #s: 1927723, 1827872, 1927720), we pursue the first-of-its-kind permafrost science use case that capitalizes on a large volume of commercial satellite imagery to create the first Pan-Artic scale ice-wedge polygon map covering > 5 million km2 in the Arctic. We harnessed thousands of Maxar imagery, deep learning CNNs, and high-performance computing resources to develop a scalable and reproducible image-to-assessment pipeline. The operational implementation of our mapping pipeline on high-performance computing systems has detected more than one billion individual IWPs. The deep learning model predictions comprise spatial outlining of IWPs coupled with their classification and geometrical attributes at individual IWP-level. The resulting Pan-Arctic ice-wedge polygon map holds significant potential to serve a diverse user community, facilitating a deeper understanding of the intricate and interconnected processes governing the evolution of the ice-wedge polygon tundra landscape. 
The technical goal of this proposal is to improve the performance of our GeoAI pipeline by integrating vision transformers and extending its capabilities to map other important features. Self-attention-based neural net architectures, in particular Transformers have shown extraordinary success in multiple domains, especially in natural language processing (e.g., Chat GPT). Since foundation models are trained on internet-scale training data sets, they can be generalized with zero-shot and few-shot learning to a new task. The introduction of Segment Anything Model (SAM) is an attempt to come out with a foundation model for image segmentation tasks. SAM enables image segmentation without having to train the model on a large set of training samples (zero-shot learning). As with ChatGPT, SAM also uses a transformer-based approach. DL is rapidly moving away from the CNN-based computer vision models to vision transformers (ViTs). Currently, ViT-based models exhibit great promise on benchmark segmentation datasets. However, one major challenge is in adopting ViTs from everyday images to be able to segment geo-objects in high resolution satellite images. Continued access to HPC resources is critical for us to improve the existing DL pipelines via the introduction of new technologies, training and tuning of models, and to create new geospatial map products and reach our new aims successfully. The central objective of this proposal is to request HPC resources that are necessary to develop, train and validate transformer-based AI models.",2024-04-26T14:37:37.922Z
NAIRR240091,169428,New,4/22/24,10/22/24,1263968,1263968,Privacy-Preserving Synthetic Data Generation for AI Research,"De Cock, Martine",University of Washington Tacoma,0000-0001-7917-0771,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Data is the lifeblood of AI. Much of the most valuable data in the nation however is siloed in research centers, hospitals, banks, etc. The long and onerous processes that researchers have to go through to access each silo is causing a substantial underutilization of AI in many of the most important domains, including healthcare, genomics, justice, education, and finance. Synthetic data generation (SDG) offers an appealing solution to make data more broadly available for AI research while mitigating privacy concerns. Current SDG algorithms however lack provisions for protection of input privacy. Our goal is to leverage the NAIRR infrastructure to make it possible for data holders to contribute their data to an SDG process without disclosing that data in an unencrypted manner. The enhanced privacy brought by the ability to train synthetic data generators over encrypted data comes at a significant computational cost, which is a justifiable price to pay in very sensitive domains like healthcare and genomics.",2024-04-26T14:56:11.589Z
NAIRR240113,169997,New,4/22/24,10/22/24,1264568,1264568,"Scalable Editing of Vision-Language Models, With Applications to Cyber-Physical Systems","Hegde, Chinmay",New York University,0000-0003-4574-8066,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This NAIRR Pilot project seeks to enable significant advances in scalable model editing approaches for making multimodal AI models safe, robust, and aligned with desirable societal values. Model editing refers to the process of systematically adjusting the weights of an existing (trained) AI model so that the new model obeys certain desiderata. Most model editing approaches suffer from issues of scale (they work only for small-scale models) and extent (they are only able to change model properties to a limited degree). Our project seeks to test novel strategies that can significantly surpass such limitations.",2024-04-16T14:26:27.624Z
NAIRR240115,170002,New,4/22/24,10/22/24,1264573,1264573,Agricultural pest identification with robustness guarantees,"Ganapathysubramanian, Baskar",Iowa State University,0000-0002-8931-4852,"Agriculture, Forestry, and Fisheries",502065,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal requests computational resources on TACC Frontera to advance a transformative project in agriculture: developing a robust foundational vision model for pest identification (insects, weeds, and diseases). It builds on preliminary work with InsectNet, a model trained on a large dataset of insect images, to expand its capabilities significantly. The team aims to utilize an expanded dataset of approximately 100 million images and incorporate new architectures, including transformers, to enhance model accuracy, scalability, and robustness. A key innovation is the introduction of certified robustness to ensure model reliability against adversarial attacks, making it a crucial tool for improving agricultural outcomes globally. This project is supported by the USDA-NIFA and NSF-funded AI Institute for Resilient Agriculture and an NSF CPS Frontiers grant, underscoring its importance and potential impact on sustainable food production.",2024-04-15T20:39:07.485Z
NAIRR240122,170005,New,4/22/24,10/22/24,1264576,1264576,Community Runnable Earth Digital Intelligence Twin Training and Reforecats,"Gagne, David",National Center for Atmospheric Research,0000-0002-0469-2740,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The goal of the Community Runnable Earth Digital Intelligence Twin (CREDIT) project is to develop, train, and evaluate global and regional artificial intelligence numerical weather prediction (AI NWP) models in an open, scaleable, science-focused framework. We will investigate how choices in the data processing, architecture, loss functions, and evaluation lead to more accurate, stable, physically consistent, and valuable AI NWP models and produce large sets of reforecasts for further analysis and evaluation by the broader community.",2024-04-16T13:56:40.979Z
NAIRR240129,169898,New,4/22/24,10/22/24,1264497,1264497,Exploring Iterative Reasoning in LLMs and the Transferability to Multimodal Models,"Winder, John",Johns Hopkins University Applied Physics Laboratory,nairr-user-ikier,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This project aims to explore the reasoning process of Large Language Models (LLMs) and investigate the generalizability of these capabilities from text to multimodal contexts using joint embedding models. We hypothesize that transformers, the underlying architecture of LLMs, perform semantic reasoning through an iterative numerical optimization process. Through analyzing token transformations and employing techniques like principal component analysis (PCA), we seek to understand and interpret LLM's reasoning processes. Additionally, we will investigate the transferability of this reasoning process to other modalities by leveraging the ImageBind model. This study not only seeks to better understand the reasoning mechanisms of LLMs but also to apply these findings to modalities beyond text.",2024-04-16T13:43:48.875Z
NAIRR240140,170018,New,4/22/24,10/22/24,1264589,1264589,Developing Reliable Agents for Automating Complex Digital Tasks,"Balasubramanian, Niranjan",Stony Brook University,0000-0003-4187-9368,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"Generative AI has greatly expanded the scope of automation in complex tasks. Many day-to-day digital tasks require interacting with tools via APIs to solve problems in a step-by-step manner. For example, paying what we owe friends for a night out involves using apps such as Splitwise, emails, and Venmo. Many such common activities are complex tasks, requiring our interaction with multiple applications. If LLMs can be augmented with API-based access to these apps, we can automate such complex tasks. There have been significant advances in LLM tool use, and an increased push for automation in solving complex tasks. ChatGPT Plugins, for example, aim to support real-time information retrieval, access to specific knowledge bases, and perform actions such as booking a flight on behalf of a user. There is vast potential for solving a wide variety of complex tasks through such LLM-based automation. However, translating this potential into viable and verified real-world solutions requires both substantial advances in model capabilities and rigorous evaluation in a controllable environment. To this end, this team has already developed, AppWorld, an execution environment, a collection of complex tasks, and programmatic evaluation to verify the correctness of the solutions exhaustively. Benchmarking results show that standard ways of applying state-of-the-art models are unreliable and ineffective for these tasks. This proposal is aimed at developing and training reliable LLM-based agents using three approaches: (i) Supervising LLMs with iterative bootstrapping of tasks, (ii) Learning with feedback from the programmatic evaluator, and (iii) Learning via self-exploration within the execution environment.",2024-04-15T20:45:39.915Z
NAIRR240144,170031,New,4/22/24,10/22/24,1264601,1264601,"An Empirical Evaluation of Accuracy, Robustness and Bias of Compressed Language Models","Srikumar, Vivek",University of Utah,0000-0003-0419-6568,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"It is not sufficient to ensure the safety, security and trustworthiness of today's largest AI systems. Indeed, given their resource constraints, compressed versions of AI systems will be deployed more often and ensuring their safety and robustness is important. To be effective, model compression methods must maintain predictive accuracy, while ensuring out-of-domain robustness. Furthermore, the resulting models should not show disparate predictive performance across societal groups. As a first step towards the safety of compressed models, our objective is to conduct the first comprehensive, multi-dimensional evaluation of compression techniques, focusing on accuracy, reliability, robustness, and bias of the resulting models.",2024-04-15T20:50:33.416Z
NAIRR240154,170044,New,4/22/24,10/22/24,1264614,1264614,Georgetown University Advanced Computing Resource Request for AI Education,"Hickman, James",Georgetown University,nairr-user-8ocqx,Artificial Intelligence and Intelligent Systems,502096,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"This proposal aims to acquire computational resources for student-led projects to bolster AI education, with the goal of facilitating workforce development in the Artificial intelligence space. The Department of Data Science and Analytics (DSAN) at Georgetown University boasts a sizable and diverse population of over 200 Master's level students, with an annual cohort size of approximately 120 students. Our goal is to secure computational resources that will enable our student body to delve into a wide array of issues at the intersection of data science, deep learning, and AI. This includes tasks such as testing, evaluating, verifying, and validating AI systems and models to ensure safe, secure and trustworthy AI. Our program offers a comprehensive range of AI and deep learning courses, including DSAN-6600: Introduction to deep learning, DSAN-6500: Image Mining and Computer Vision Analytics, DSAN-6650: Deep Reinforcement Learning, DSAN-5400: Computational Linguistics, DSAN 5800: Advanced Natural Language Processing, and DSAN-5810: NLP with Large Language Models. While these courses provide our students with a robust skill set in deep learning, their projects are currently significantly restricted by our limited access to GPU and super-computer resources. Therefore, our objective in submitting this proposal is to enhance our department's computational resources, thereby expanding the complexity of the models and methodologies accessible to our students.",2024-05-02T18:18:55.132Z
NAIRR240161,170046,New,4/22/24,10/22/24,1264616,1264616,LakeGPT: Building a Foundation Model for Aquatic Sciences,"Karpatne, Anuj",Virginia Tech,0000-0003-1647-3534,Ecology,502127,NAIRR Pilot Call for Early Allocations,NAIRR Pilot,"The goal of this project is to build a foundation model for aquatic sciences, termed Lake-GPT, to model a variety of processes related to the quality of water in lakes and reservoirs, using novel advances in the emerging field of ecology knowledge-guided machine learning (eco-KGML). Supported by an NSF grant from the Macrosystems Biology and NEON-Enabled Science (MSB-NES) program, our work is opening a new chapter of research in AI to model scientific systems where we have growing volumes of data collected from sensors as well as generated from model simulations. Our research in eco-KGML also makes a distinct departure from mainstream practices of building black-box AI models, that solely rely on supervision contained in data, to also leverage the wealth of scientific knowledge available in many domains including aquatic sciences (e.g., conservation laws of mass and energy) in diverse formats (as equations, rules, heuristics, or as mechanistic model runs) and with varying fidelities of knowledge (ranging from perfect and complete to imperfect and partial). Inspired by the success of large-scale foundation models in mainstream applications of computer vision and language understanding in the commercial arena, the domain of aquatic sciences is ripe with opportunities to investigate the effectiveness of foundation models for modeling scientific processes using both scientific knowledge and data.",2024-04-15T19:58:34.469Z
